DateTime,Entries,UniqueIPs
1518006284,1,1
1518060051,2,2
1518077557,1,1
1518144983,0,0
1518155542,1,1
1518179345,2,2
1518203081,3,3
1518242930,2,2
1518266437,1,1
1518268587,2,2
1518288261,1,1
1518354082,0,0
1518374220,1,1
1518378034,2,2
1518398204,3,3
1518413806,4,4
1518458943,5,5
1518460958,4,4
1518464698,3,3
1518483726,3,3
1518499239,2,2
1518540285,3,3
1518546046,2,2
1518569245,1,1
1518625233,1,1
1518644947,2,2
1518650934,3,3
1518711172,2,2
1518713353,3,3
1518730847,2,2
1518739401,1,1
1518796432,0,0
1518813817,1,1
1518847961,2,2
1518900047,1,1
1518931233,0,0
1518941330,1,1
1518986935,2,2
1518988847,3,3
1519028921,2,2
1519039007,3,3
1519055090,4,4
1519057017,5,5
1519074318,4,4
1519076448,3,3
1519121344,4,4
1519125328,3,3
1519142663,2,2
1519144659,1,1
1519149741,3,3
1519178927,4,4
1519194997,5,5
1519207320,4,4
1519213234,5,5
1519219497,6,6
1519227673,7,7
1519231655,8,8
1519235553,6,6
1519266019,5,5
1519279935,4,4
1519281895,5,5
1519301136,4,4
1519307161,3,3
1519315320,2,2
1519317346,1,1
1519321479,2,2
1519335458,3,3
1519368770,2,2
1519370690,3,3
1519388189,4,4
1519408121,3,3
1519421790,2,2
1519457818,1,1
1519471972,0,0
1519490921,1,1
1519517471,2,2
1519568198,3,3
1519573723,4,4
1519578122,3,3
1519602065,2,2
1519609836,3,3
1519633478,4,4
1519645000,5,5
1519654834,4,4
1519658914,3,3
1519696006,2,2
1519719656,1,1
1519727931,0,0
1519735253,1,1
1519789964,2,2
1519797674,3,3
1519822882,2,2
1519846592,3,3
1519862115,4,4
1519876134,3,3
1519883812,2,2
1519908763,3,3
1519932042,2,2
1519948377,1,1
1519992090,0,0
1520005958,1,1
1520052305,2,2
1520093094,1,1
1520105079,2,2
1520137971,1,1
1520190349,0,0
1520224370,1,1
1520308179,2,2
1520312006,1,1
1520323973,2,2
1520394034,1,1
1520403638,2,2
1520409409,1,1
1520411313,2,2
1520430761,3,3
1520434592,4,4
1520442281,5,5
1520491305,4,4
1520497519,3,3
1520517894,2,2
1520521945,1,1
1520526028,0,0
1520597340,1,1
1520682320,0,0
1520722643,1,1
1520724852,2,2
1520731001,3,3
1520809482,2,2
1520811642,1,1
1520815484,0,0
1520865213,1,1
1520905975,2,2
1520952529,1,1
1520978190,2,2
1520991628,1,1
1521028353,2,2
1521032364,3,3
1521039992,4,4
1521064899,3,3
1521116522,2,2
1521118605,1,1
1521125016,0,0
1521264039,1,1
1521349720,0,0
1521397223,1,1
1521472129,2,2
1521483911,1,1
1521490722,2,2
1521527293,4,4
1521558983,3,3
1521576381,2,2
1521613695,1,1
1521619473,2,2
1521670973,3,3
1521701575,2,2
1521705878,1,1
1521754844,0,0
1521797320,1,1
1521803784,2,2
1521885165,1,1
1521888992,0,0
1522097071,1,1
1522181575,0,0
1522191824,1,1
1522280201,0,0
1526322783,1,1
1526338789,2,2
1526378704,3,3
1526399302,4,4
1526403400,3,3
1526425736,2,2
1526464137,1,1
1526483320,0,0
1526876831,1,1
1526963603,1,1
1527000523,2,2
1527012115,3,3
1527049497,2,2
1527064879,3,3
1527086676,2,2
1527098506,1,1
1527150058,0,0
1527196366,1,1
1527250842,2,2
1527284690,1,1
1527286600,2,2
1527291362,2,2
1527293562,2,2
1527295611,2,2
1527298169,2,2
1527298169,2,2
1527300918,2,2
1527300918,2,2
1527303232,2,2
1527303232,2,2
1527305671,2,2
1527308459,2,2
1527311252,2,2
1527311252,2,2
1527314172,2,2
1527314172,2,2
1527316683,2,2
1527316683,2,2
1527318595,2,2
1527320967,2,2
1527320967,2,2
1527322910,2,2
1527322910,2,2
1527325324,2,2
1527325324,2,2
1527327545,2,2
1527336901,2,2
1527336901,2,2
1527339169,2,2
1527339169,2,2
1527341660,2,2
1527343552,2,2
1527343552,2,2
1527346518,2,2
1527346518,2,2
1527350726,2,2
1527352747,2,2
1527352747,2,2
1527355514,2,2
1527355514,2,2
1527358192,2,2
1527358192,2,2
1527361562,2,2
1527361562,2,2
1527369514,2,2
1527369514,2,2
1527375548,1,1
1527378891,1,1
1527381334,2,2
1527381334,2,2
1527383952,2,2
1527383952,2,2
1527386927,2,2
1527386927,2,2
1527389636,2,2
1527389636,2,2
1527391949,2,2
1527391949,2,2
1527393933,2,2
1527393933,2,2
1527396098,2,2
1527396098,2,2
1527398021,2,2
1527400196,2,2
1527421228,1,1
1527466355,0,0
1528149392,1,1
1528159004,2,2
1528178188,3,3
1528236752,2,2
1528246341,1,1
1528263624,0,0
1528263624,0,0
1528263624,0,0
1528263624,0,0
1528263624,0,0
1528263624,0,0
1528836017,1,1
1528921244,0,0
1528941147,1,1
1529026341,0,0
1529428574,1,1
1529531300,0,0
1529675312,1,1
1529761719,1,1
1529846439,0,0
1529883137,1,1
1529884962,2,2
1529886986,3,3
1529894678,4,4
1529908111,6,6
1529910992,7,7
1529913161,9,9
1529916989,10,10
1529932353,11,11
1529938098,12,12
1529955375,13,13
1529971331,11,11
1529973144,10,10
1529978901,11,11
1529980834,11,11
1529994259,9,9
1529998103,9,9
1530000117,8,8
1530002202,9,9
1530004119,8,8
1530006038,10,10
1530015629,11,11
1530019464,10,10
1530023304,11,11
1530025299,13,13
1530027144,14,14
1530029082,15,15
1530030981,17,17
1530032927,19,19
1530034823,20,20
1530036744,22,22
1530042621,21,21
1530048264,22,22
1530052348,23,23
1530061952,24,24
1530063884,26,26
1530065796,25,25
1530067714,24,24
1530077332,25,25
1530083078,24,24
1530084991,26,26
1530086917,26,26
1530088830,26,26
1530090752,24,24
1530094599,25,25
1530098429,26,26
1530100351,28,28
1530102299,27,27
1530109955,26,26
1530111872,23,23
1530113797,22,22
1530115729,22,22
1530117627,20,20
1530119545,18,18
1530121479,18,18
1530123383,16,16
1530133314,15,15
1530139452,14,14
1530147148,13,13
1530150985,11,11
1530158673,12,12
1530164423,12,12
1530170189,11,11
1530172124,10,10
1530174025,8,8
1530179804,7,7
1530185806,5,5
1530187743,4,4
1530195407,5,5
1530197579,6,6
1530201404,5,5
1530205306,6,6
1530209091,5,5
1530221106,6,6
1530246523,5,5
1530250346,4,4
1530282257,3,3
1530284199,2,2
1530290436,1,1
1530296817,2,2
1530306990,1,1
1530335789,3,3
1530339653,4,4
1530353089,5,5
1530382584,4,4
1530416673,5,5
1530422428,3,3
1530426273,2,2
1530439730,1,1
1530451786,84013,84013
1530454574,1,1
1530473549,2,2
1530502585,2,2
1530514108,3,3
1530529963,4,4
1530558997,3,3
1530564797,5,5
1530578666,6,6
1530584663,7,7
1530587549,6,6
1530595480,7,7
1530601295,6,6
1530606986,7,7
1530617078,6,6
1530651773,4,4
1530663877,3,3
1530671617,2,2
1530683317,1,1
1530690992,0,0
1530856572,1,1
1530887796,2,2
1530905299,3,3
1530940124,4,4
1530943958,3,3
1530961301,4,4
1530972993,3,3
1530990766,2,2
1531002282,3,3
1531026771,2,2
1531040204,3,3
1531044105,5,5
1531048138,4,4
1531088450,3,3
1531127807,2,2
1531171227,0,0
1531206743,1,1
1531264139,2,2
1531293425,1,1
1531308784,2,2
1531350106,1,1
1531369224,2,2
1531375002,3,3
1531392306,4,4
1531396118,3,3
1531401891,4,4
1531405708,5,5
1531455157,4,4
1531461164,3,3
1531478445,2,2
1531488038,1,1
1531490190,0,0
1531516362,29197,29197
1531520184,29213,29213
1531544031,29214,29214
1531588650,29215,29215
1531652304,29216,29216
1531658286,29217,29217
1531722334,29218,29218
1531772514,29219,29219
1531826793,29221,29221
1531846220,29222,29222
1531865578,3,3
1531869391,4,4
1531911716,3,3
1531913588,2,2
1531932763,1,1
1531940505,2,2
1531956068,1,1
1532025642,0,0
1532077950,1,1
1532081701,2,2
1532135801,3,3
1532156910,4,4
1532161504,5,5
1532165305,4,4
1532169144,3,3
1532176817,4,4
1532194266,5,5
1532222215,4,4
1532243579,3,3
1532249555,2,2
1532278767,1,1
1532301172,1,1
1532351546,2,2
1532374589,3,3
1532383992,4,4
1532387810,4,4
1532408954,5,5
1532438211,4,4
1532446111,5,5
1532461733,5,5
1532465583,6,6
1532469408,5,5
1532486753,4,4
1532496276,3,3
1532515739,4,4
1532521472,5,5
1532525305,6,6
1532531363,6,6
1532535411,7,7
1532537326,8,8
1532547029,7,7
1532550812,8,8
1532552686,7,7
1532562316,8,8
1532593055,9,9
1532602901,8,8
1532608660,7,7
1532612488,6,6
1532616598,5,5
1532622526,3,3
1532633605,4,4
1532637679,3,3
1532643388,4,4
1532648421,3,3
1532664102,4,4
1532679885,3,3
1532719008,2,2
1532731581,1,1
1532747348,0,0
1532787135,1,1
1532806602,2,2
1532841862,3,3
1532874767,2,2
1532878583,3,3
1532890345,4,4
1532894181,3,3
1532905748,4,4
1532929225,3,3
1532934983,4,4
1532960208,5,5
1532962120,6,6
1532964032,5,5
1532977479,4,4
1532990936,3,3
1533019719,2,2
1533049026,1,1
1533067171,2,2
1533079227,3,3
